Date,Place3,Date,Place4
1/1/2000,11.39668255,1/1/2000,11.0857398
1/2/2000,12.4686553,1/2/2000,11.36664133
1/3/2000,11.70549002,1/3/2000,9.945792387
1/4/2000,12.03291587,1/4/2000,9.455345532
1/5/2000,11.85772905,1/5/2000,9.521205138
1/6/2000,12.236901,1/6/2000,9.540595152
1/7/2000,12.9864623,1/7/2000,8.88528471
1/8/2000,13.44073305,1/8/2000,10.43381281
1/9/2000,13.30572033,1/9/2000,11.7261775
1/10/2000,13.24786568,1/10/2000,12.44719133
1/11/2000,13.5168767,1/11/2000,13.580692
1/12/2000,10.21146679,1/12/2000,15.46759815
1/13/2000,8.923955822,1/13/2000,14.37670298
1/14/2000,7.725843668,1/14/2000,12.12040043
1/15/2000,5.775399685,1/15/2000,10.52310505
1/16/2000,7.18007288,1/16/2000,9.041596128
1/17/2000,8.289672136,1/17/2000,9.6589179
1/18/2000,10.06131535,1/18/2000,11.82130451
1/19/2000,11.23833494,1/19/2000,13.0209961
1/20/2000,12.59151593,1/20/2000,13.37270279
1/21/2000,12.38514319,1/21/2000,14.16043024
1/22/2000,12.72085752,1/22/2000,14.51601391
1/23/2000,11.18193531,1/23/2000,13.72908812
1/24/2000,12.35727435,1/24/2000,13.92735443
1/25/2000,12.01945038,1/25/2000,14.72669906
1/26/2000,10.50138836,1/26/2000,14.34328823
1/27/2000,9.317457676,1/27/2000,13.93612461
1/28/2000,11.75437221,1/28/2000,12.44853115
1/29/2000,12.2411066,1/29/2000,12.88470983
1/30/2000,13.9074769,1/30/2000,13.50625877
1/31/2000,14.6628562,1/31/2000,15.09299355
2/1/2000,12.89696121,2/1/2000,15.25357589
2/2/2000,8.780700255,2/2/2000,14.32289486
2/3/2000,10.55770302,2/3/2000,14.14949027
2/4/2000,12.6935069,2/4/2000,15.24346332
2/5/2000,11.73157129,2/5/2000,14.70716229
2/6/2000,11.20895653,2/6/2000,12.45860252
2/7/2000,11.98442497,2/7/2000,12.12796984
2/8/2000,13.07570429,2/8/2000,11.11225376
2/9/2000,12.91251011,2/9/2000,12.14850311
2/10/2000,10.06999407,2/10/2000,14.03344031
2/11/2000,10.14324131,2/11/2000,13.54401913
2/12/2000,9.979832077,2/12/2000,11.89242554
2/13/2000,9.697418499,2/13/2000,11.07419043
2/14/2000,11.49149389,2/14/2000,11.69593249
2/15/2000,13.74694204,2/15/2000,12.58113098
2/16/2000,14.36616517,2/16/2000,13.73864365
2/17/2000,13.08248215,2/17/2000,14.68076935
2/18/2000,10.42548599,2/18/2000,14.34044638
2/19/2000,11.67924509,2/19/2000,13.59532271
2/20/2000,12.80361223,2/20/2000,14.25610228
2/21/2000,8.653906775,2/21/2000,15.47138672
2/22/2000,11.20453167,2/22/2000,14.73234501
2/23/2000,13.00043449,2/23/2000,13.60480271
2/24/2000,12.7774743,2/24/2000,14.28510446
2/25/2000,13.70845795,2/25/2000,13.76214066
2/26/2000,14.16481943,2/26/2000,13.97731218
2/27/2000,15.58096599,2/27/2000,15.17066345
2/28/2000,16.66055479,2/28/2000,17.24676189
2/29/2000,18.46570912,2/29/2000,18.01255188
3/1/2000,16.48234673,3/1/2000,18.73366356
3/2/2000,16.72657414,3/2/2000,18.50565605
3/3/2000,17.54057283,3/3/2000,18.5224102
3/4/2000,18.06059647,3/4/2000,19.8681427
3/5/2000,10.39434204,3/5/2000,19.47597885
3/6/2000,13.72700396,3/6/2000,16.42342586
3/7/2000,16.03259525,3/7/2000,17.37395954
3/8/2000,15.67483635,3/8/2000,17.8505413
3/9/2000,16.50893364,3/9/2000,16.93740578
3/10/2000,18.00588684,3/10/2000,18.08631477
3/11/2000,19.76311989,3/11/2000,20.19668712
3/12/2000,18.64582749,3/12/2000,20.91590881
3/13/2000,17.22975225,3/13/2000,19.51383877
3/14/2000,17.20651389,3/14/2000,18.02798595
3/15/2000,17.91664906,3/15/2000,18.02347984
3/16/2000,19.63584175,3/16/2000,18.95882492
3/17/2000,19.10898152,3/17/2000,20.85923481
3/18/2000,16.17540025,3/18/2000,20.90308914
3/19/2000,16.58490419,3/19/2000,18.88395653
3/20/2000,17.34620743,3/20/2000,18.34233914
3/21/2000,18.38976479,3/21/2000,18.58471642
3/22/2000,17.76960698,3/22/2000,20.08071098
3/23/2000,18.3076458,3/23/2000,19.4753437
